TYPE,ROCAUC,PRAUC,AP,P@1,P@5,P@10
train,0.83398459884816,0.30870899514506067,0.3090512900081137,0.6069182389937107,0.3619824341279799,0.27814361868924425
valid,0.7113666955771285,0.14107149459737178,0.1421649151257356,0.225,0.1925,0.1575
test,0.7372205614171587,0.16503763866778787,0.1660728023697433,0.21428571428571427,0.24079320113314448,0.20821529745042494
